"global_step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MAX"
"999","1","1","1","-426.55987548828125","-426.55987548828125","-426.55987548828125","1","1","1","-166.3018341064453","-166.3018341064453","-166.3018341064453","1","1","1","-293.71966552734375","-293.71966552734375","-293.71966552734375","1","1","1","-458.8292541503906","-458.8292541503906","-458.8292541503906","1","1","1","-358.3053894042969","-358.3053894042969","-358.3053894042969"
"1999","2","2","2","-171.45388793945312","-171.45388793945312","-171.45388793945312","2","2","2","-340.382080078125","-340.382080078125","-340.382080078125","2","2","2","-357.6620178222656","-357.6620178222656","-357.6620178222656","2","2","2","-318.170166015625","-318.170166015625","-318.170166015625","2","2","2","-290.74591064453125","-290.74591064453125","-290.74591064453125"
"2999","3","3","3","-142.86822509765625","-142.86822509765625","-142.86822509765625","3","3","3","-480.7763671875","-480.7763671875","-480.7763671875","3","3","3","-321.69915771484375","-321.69915771484375","-321.69915771484375","3","3","3","-264.8149108886719","-264.8149108886719","-264.8149108886719","3","3","3","-243.14825439453125","-243.14825439453125","-243.14825439453125"
"3999","4","4","4","-214.4403839111328","-214.4403839111328","-214.4403839111328","4","4","4","-380.045654296875","-380.045654296875","-380.045654296875","4","4","4","-261.0794982910156","-261.0794982910156","-261.0794982910156","4","4","4","-252.9762420654297","-252.9762420654297","-252.9762420654297","4","4","4","-266.3885803222656","-266.3885803222656","-266.3885803222656"
"4999","5","5","5","-274.3819274902344","-274.3819274902344","-274.3819274902344","5","5","5","-204.4925079345703","-204.4925079345703","-204.4925079345703","5","5","5","-265.18218994140625","-265.18218994140625","-265.18218994140625","5","5","5","-377.05230712890625","-377.05230712890625","-377.05230712890625","5","5","5","-221.2110595703125","-221.2110595703125","-221.2110595703125"
"5999","15","15","15","-377.5101623535156","-377.5101623535156","-377.5101623535156","15","15","15","-129.39353942871094","-129.39353942871094","-129.39353942871094","15","15","15","-204.43348693847656","-204.43348693847656","-204.43348693847656","15","15","15","-258.1999206542969","-258.1999206542969","-258.1999206542969","15","15","15","-113.22015380859375","-113.22015380859375","-113.22015380859375"
"6999","26","26","26","-129.5264434814453","-129.5264434814453","-129.5264434814453","26","26","26","-239.60134887695312","-239.60134887695312","-239.60134887695312","26","26","26","-247.83399963378906","-247.83399963378906","-247.83399963378906","26","26","26","-147.6871795654297","-147.6871795654297","-147.6871795654297","26","26","26","-162.5671844482422","-162.5671844482422","-162.5671844482422"
"7999","37","37","37","-179.65316772460938","-179.65316772460938","-179.65316772460938","37","37","37","-190.8471221923828","-190.8471221923828","-190.8471221923828","37","37","37","-230.44024658203125","-230.44024658203125","-230.44024658203125","37","37","37","-278.0367126464844","-278.0367126464844","-278.0367126464844","37","37","37","-173.17396545410156","-173.17396545410156","-173.17396545410156"
"8999","48","48","48","-186.02064514160156","-186.02064514160156","-186.02064514160156","48","48","48","-244.43836975097656","-244.43836975097656","-244.43836975097656","48","48","48","-251.70416259765625","-251.70416259765625","-251.70416259765625","48","48","48","-399.5615234375","-399.5615234375","-399.5615234375","48","48","48","-244.93984985351562","-244.93984985351562","-244.93984985351562"
"9999","59","59","59","-127.08220672607422","-127.08220672607422","-127.08220672607422","59","59","59","-144.9768829345703","-144.9768829345703","-144.9768829345703","59","59","59","-155.89532470703125","-155.89532470703125","-155.89532470703125","59","59","59","-132.91400146484375","-132.91400146484375","-132.91400146484375","59","59","59","-203.6832733154297","-203.6832733154297","-203.6832733154297"
"10999","70","70","70","-110.18002319335938","-110.18002319335938","-110.18002319335938","70","70","70","94.97550201416016","94.97550201416016","94.97550201416016","70","70","70","-136.2595672607422","-136.2595672607422","-136.2595672607422","70","70","70","151.5806121826172","151.5806121826172","151.5806121826172","70","70","70","-77.9847412109375","-77.9847412109375","-77.9847412109375"
"11999","81","81","81","352.3759765625","352.3759765625","352.3759765625","81","81","81","472.28277587890625","472.28277587890625","472.28277587890625","81","81","81","35.87101364135742","35.87101364135742","35.87101364135742","81","81","81","346.7518310546875","346.7518310546875","346.7518310546875","81","81","81","171.9734649658203","171.9734649658203","171.9734649658203"
"12999","92","92","92","446.2811279296875","446.2811279296875","446.2811279296875","92","92","92","511.3245544433594","511.3245544433594","511.3245544433594","92","92","92","1392.5345458984375","1392.5345458984375","1392.5345458984375","92","92","92","541.9512939453125","541.9512939453125","541.9512939453125","92","92","92","978.3076782226562","978.3076782226562","978.3076782226562"
