"global_step","Hopper-v4__TD31_Hopper__4__1745441762 - _step","Hopper-v4__TD31_Hopper__4__1745441762 - _step__MIN","Hopper-v4__TD31_Hopper__4__1745441762 - _step__MAX","Hopper-v4__TD31_Hopper__4__1745441762 - charts/episodic_return","Hopper-v4__TD31_Hopper__4__1745441762 - charts/episodic_return__MIN","Hopper-v4__TD31_Hopper__4__1745441762 - charts/episodic_return__MAX","Hopper-v4__TD31_Hopper__3__1745440172 - _step","Hopper-v4__TD31_Hopper__3__1745440172 - _step__MIN","Hopper-v4__TD31_Hopper__3__1745440172 - _step__MAX","Hopper-v4__TD31_Hopper__3__1745440172 - charts/episodic_return","Hopper-v4__TD31_Hopper__3__1745440172 - charts/episodic_return__MIN","Hopper-v4__TD31_Hopper__3__1745440172 - charts/episodic_return__MAX","Hopper-v4__TD31_Hopper__2__1745438628 - _step","Hopper-v4__TD31_Hopper__2__1745438628 - _step__MIN","Hopper-v4__TD31_Hopper__2__1745438628 - _step__MAX","Hopper-v4__TD31_Hopper__2__1745438628 - charts/episodic_return","Hopper-v4__TD31_Hopper__2__1745438628 - charts/episodic_return__MIN","Hopper-v4__TD31_Hopper__2__1745438628 - charts/episodic_return__MAX","Hopper-v4__TD31_Hopper__1__1745437098 - _step","Hopper-v4__TD31_Hopper__1__1745437098 - _step__MIN","Hopper-v4__TD31_Hopper__1__1745437098 - _step__MAX","Hopper-v4__TD31_Hopper__1__1745437098 - charts/episodic_return","Hopper-v4__TD31_Hopper__1__1745437098 - charts/episodic_return__MIN","Hopper-v4__TD31_Hopper__1__1745437098 - charts/episodic_return__MAX","Hopper-v4__TD31_Hopper__0__1745435628 - _step","Hopper-v4__TD31_Hopper__0__1745435628 - _step__MIN","Hopper-v4__TD31_Hopper__0__1745435628 - _step__MAX","Hopper-v4__TD31_Hopper__0__1745435628 - charts/episodic_return","Hopper-v4__TD31_Hopper__0__1745435628 - charts/episodic_return__MIN","Hopper-v4__TD31_Hopper__0__1745435628 - charts/episodic_return__MAX"
"12","","","","","","","","","","","","","","","","","","","1","1","1","10.137042999267578","10.137042999267578","10.137042999267578","","","","","",""
"13","","","","","","","","","","","","","1","1","1","12.35646915435791","12.35646915435791","12.35646915435791","","","","","","","","","","","",""
"14","","","","","","","1","1","1","9.283219337463379","9.283219337463379","9.283219337463379","","","","","","","","","","","","","","","","","",""
"25","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","19.455434799194336","19.455434799194336","19.455434799194336"
"26","","","","","","","","","","","","","2","2","2","11.48320198059082","11.48320198059082","11.48320198059082","","","","","","","","","","","",""
"33","","","","","","","","","","","","","","","","","","","2","2","2","24.45534324645996","24.45534324645996","24.45534324645996","","","","","",""
"35","1","1","1","52.6346435546875","52.6346435546875","52.6346435546875","","","","","","","","","","","","","","","","","","","","","","","",""
"44","","","","","","","","","","","","","3","3","3","9.096176147460938","9.096176147460938","9.096176147460938","","","","","","","","","","","",""
"45","","","","","","","2","2","2","12.598962783813477","12.598962783813477","12.598962783813477","","","","","","","","","","","","","","","","","",""
"69","","","","","","","","","","","","","4","4","4","16.521997451782227","16.521997451782227","16.521997451782227","","","","","","","","","","","",""
"72","","","","","","","3","3","3","12.878716468811035","12.878716468811035","12.878716468811035","","","","","","","","","","","","","","","","","",""
"77","","","","","","","","","","","","","","","","","","","3","3","3","31.368059158325195","31.368059158325195","31.368059158325195","","","","","",""
"86","","","","","","","","","","","","","5","5","5","10.729042053222656","10.729042053222656","10.729042053222656","","","","","","","","","","","",""
"96","","","","","","","","","","","","","6","6","6","8.131909370422363","8.131909370422363","8.131909370422363","","","","","","","","","","","",""
"97","","","","","","","","","","","","","","","","","","","4","4","4","3.9407589435577393","3.9407589435577393","3.9407589435577393","","","","","",""
"98","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","110.8034439086914","110.8034439086914","110.8034439086914"
"105","2","2","2","137.8127899169922","137.8127899169922","137.8127899169922","4","4","4","27.767601013183594","27.767601013183594","27.767601013183594","","","","","","","","","","","","","","","","","",""
"113","","","","","","","","","","","","","","","","","","","5","5","5","10.493657112121582","10.493657112121582","10.493657112121582","","","","","",""
"117","","","","","","","","","","","","","7","7","7","20.71439552307129","20.71439552307129","20.71439552307129","","","","","","","","","","","",""
"118","3","3","3","9.00674819946289","9.00674819946289","9.00674819946289","","","","","","","","","","","","","","","","","","","","","","","",""
"122","","","","","","","5","5","5","8.303893089294434","8.303893089294434","8.303893089294434","","","","","","","","","","","","","3","3","3","21.48250389099121","21.48250389099121","21.48250389099121"
"136","4","4","4","11.129075050354004","11.129075050354004","11.129075050354004","6","6","6","9.660661697387695","9.660661697387695","9.660661697387695","","","","","","","","","","","","","","","","","",""
"138","","","","","","","","","","","","","8","8","8","23.920574188232422","23.920574188232422","23.920574188232422","","","","","","","","","","","",""
"145","","","","","","","","","","","","","","","","","","","6","6","6","26.426782608032227","26.426782608032227","26.426782608032227","","","","","",""
"152","","","","","","","7","7","7","9.788512229919434","9.788512229919434","9.788512229919434","","","","","","","","","","","","","","","","","",""
"160","","","","","","","","","","","","","9","9","9","8.724672317504883","8.724672317504883","8.724672317504883","","","","","","","","","","","",""
"164","","","","","","","8","8","8","7.723624229431152","7.723624229431152","7.723624229431152","","","","","","","","","","","","","","","","","",""
"165","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","37.239017486572266","37.239017486572266","37.239017486572266"
"167","","","","","","","","","","","","","","","","","","","7","7","7","9.872291564941406","9.872291564941406","9.872291564941406","","","","","",""
"171","5","5","5","24.257110595703125","24.257110595703125","24.257110595703125","","","","","","","","","","","","","","","","","","","","","","","",""
"175","","","","","","","","","","","","","10","10","10","10.806482315063477","10.806482315063477","10.806482315063477","","","","","","","","","","","",""
"179","","","","","","","9","9","9","11.996967315673828","11.996967315673828","11.996967315673828","","","","","","","","","","","","","","","","","",""
"191","6","6","6","21.90477180480957","21.90477180480957","21.90477180480957","","","","","","","","","","","","","","","","","","","","","","","",""
"194","","","","","","","","","","","","","11","11","11","17.757104873657227","17.757104873657227","17.757104873657227","","","","","","","5","5","5","22.07863998413086","22.07863998413086","22.07863998413086"
"206","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","10.108474731445312","10.108474731445312","10.108474731445312"
"207","7","7","7","14.16550350189209","14.16550350189209","14.16550350189209","10","10","10","23.146709442138672","23.146709442138672","23.146709442138672","","","","","","","","","","","","","","","","","",""
"208","","","","","","","","","","","","","","","","","","","8","8","8","31.8824520111084","31.8824520111084","31.8824520111084","","","","","",""
"221","8","8","8","10.804539680480957","10.804539680480957","10.804539680480957","11","11","11","8.987308502197266","8.987308502197266","8.987308502197266","","","","","","","","","","","","","","","","","",""
"224","","","","","","","","","","","","","","","","","","","9","9","9","16.43208122253418","16.43208122253418","16.43208122253418","","","","","",""
"234","9","9","9","9.949431419372559","9.949431419372559","9.949431419372559","","","","","","","","","","","","","","","","","","","","","","","",""
"239","","","","","","","","","","","","","12","12","12","64.6977310180664","64.6977310180664","64.6977310180664","","","","","","","","","","","",""
"243","","","","","","","","","","","","","","","","","","","10","10","10","19.85456657409668","19.85456657409668","19.85456657409668","","","","","",""
"249","10","10","10","9.842562675476074","9.842562675476074","9.842562675476074","","","","","","","","","","","","","","","","","","","7","7","7","19.610620498657227","19.610620498657227","19.610620498657227"
"254","","","","","","","","","","","","","13","13","13","11.189459800720215","11.189459800720215","11.189459800720215","","","","","","","","","","","",""
"258","","","","","","","","","","","","","","","","","","","11","11","11","12.445809364318848","12.445809364318848","12.445809364318848","","","","","",""
"260","","","","","","","12","12","12","22.969961166381836","22.969961166381836","22.969961166381836","","","","","","","","","","","","","","","","","",""
"264","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","11.388654708862305","11.388654708862305","11.388654708862305"
